iter	Passed	Remaining
689	2978	1338
690	2983	1334
691	2991	1331
692	2995	1326
693	2999	1322
694	3003	1317
695	3007	1313
696	3010	1308
697	3014	1304
698	3017	1299
699	3021	1294
700	3025	1290
701	3028	1285
702	3031	1280
703	3035	1276
704	3038	1271
705	3042	1267
706	3047	1262
707	3051	1258
708	3056	1254
709	3059	1249
710	3062	1244
711	3066	1240
712	3069	1235
713	3072	1230
714	3076	1226
715	3079	1221
716	3082	1216
717	3086	1212
718	3089	1207
719	3092	1202
720	3095	1197
721	3099	1193
722	3103	1188
723	3107	1184
724	3110	1179
725	3112	1174
726	3116	1170
727	3119	1165
728	3121	1160
729	3125	1155
730	3128	1151
731	3131	1146
732	3135	1141
733	3138	1137
734	3141	1132
735	3145	1128
736	3148	1123
737	3152	1119
738	3156	1114
739	3159	1110
740	3162	1105
741	3166	1100
742	3169	1096
743	3172	1091
744	3175	1086
745	3179	1082
746	3182	1077
747	3185	1073
748	3188	1068
749	3191	1063
750	3195	1059
751	3198	1054
752	3201	1050
753	3205	1045
754	3208	1041
755	3211	1036
756	3216	1032
757	3220	1028
758	3224	1023
759	3229	1019
760	3233	1015
761	3236	1010
762	3242	1007
763	3246	1002
764	3255	999
765	3260	995
766	3263	991
767	3266	986
768	3269	982
769	3273	977
770	3276	973
771	3279	968
772	3282	963
773	3286	959
774	3289	955
775	3292	950
776	3296	945
777	3299	941
778	3303	937
779	3306	932
780	3309	927
781	3312	923
782	3315	918
783	3319	914
784	3322	910
785	3325	905
786	3329	901
787	3332	896
788	3335	892
789	3338	887
790	3342	883
791	3345	878
792	3349	874
793	3352	869
794	3355	865
795	3358	860
796	3361	856
797	3365	851
798	3368	847
799	3372	843
800	3375	838
801	3378	834
802	3382	829
803	3385	825
804	3389	821
805	3392	816
806	3396	812
807	3399	807
808	3402	803
809	3406	798
810	3409	794
811	3414	790
812	3418	786
813	3432	784
814	3439	780
815	3446	777
816	3452	773
817	3458	769
818	3464	765
819	3469	761
820	3473	757
821	3479	753
822	3484	749
823	3493	746
824	3502	742
825	3506	738
826	3512	734
827	3517	730
828	3521	726
829	3526	722
830	3534	718
831	3539	714
832	3545	710
833	3549	706
834	3555	702
835	3562	698
836	3565	694
837	3569	690
838	3575	686
839	3578	681
840	3582	677
841	3585	672
842	3590	668
843	3593	664
844	3597	659
845	3600	655
846	3606	651
847	3611	647
848	3614	642
849	3619	638
850	3623	634
851	3627	630
852	3631	625
853	3636	621
854	3641	617
855	3645	613
856	3649	609
857	3653	604
858	3657	600
859	3660	595
860	3667	592
861	3671	587
862	3676	583
863	3680	579
864	3688	575
865	3692	571
866	3696	566
867	3700	562
868	3710	559
869	3714	555
870	3718	550
871	3721	546
872	3725	541
873	3729	537
874	3732	533
875	3736	528
876	3740	524
877	3744	520
878	3747	515
879	3751	511
880	3754	507
881	3757	502
882	3761	498
883	3765	494
884	3768	489
885	3772	485
886	3775	480
887	3779	476
888	3782	472
889	3786	467
890	3789	463
891	3793	459
892	3798	455
893	3802	450
894	3805	446
895	3809	442
896	3812	437
897	3816	433
898	3819	429
899	3823	424
900	3827	420
901	3831	416
902	3834	411
903	3838	407
904	3842	403
905	3845	399
906	3849	394
907	3853	390
908	3857	386
909	3860	381
910	3863	377
911	3867	373
912	3871	368
913	3875	364
914	3880	360
915	3885	356
916	3890	352
917	3895	347
918	3900	343
919	3905	339
920	3908	335
921	3912	330
922	3916	326
923	3920	322
924	3923	318
925	3926	313
926	3931	309
927	3934	305
928	3937	300
929	3941	296
930	3944	292
931	3948	288
932	3951	283
933	3955	279
934	3958	275
935	3962	270
936	3966	266
937	3969	262
938	3973	258
939	3977	253
940	3981	249
941	3985	245
942	3988	241
943	3993	236
944	3996	232
945	4000	228
946	4004	224
947	4008	219
948	4012	215
949	4022	211
950	4028	207
951	4032	203
952	4035	199
953	4038	194
954	4042	190
955	4045	186
956	4049	181
957	4052	177
958	4056	173
959	4059	169
960	4063	164
961	4066	160
962	4069	156
963	4073	152
964	4077	147
965	4080	143
966	4083	139
967	4087	135
968	4090	130
969	4094	126
970	4097	122
971	4100	118
972	4104	113
973	4107	109
974	4111	105
975	4114	101
976	4117	96
977	4121	92
978	4125	88
979	4129	84
980	4135	80
981	4139	75
982	4143	71
983	4147	67
984	4152	63
985	4155	59
986	4158	54
987	4162	50
988	4165	46
989	4169	42
990	4172	37
991	4175	33
992	4179	29
993	4184	25
994	4188	21
995	4192	16
996	4195	12
997	4199	8
998	4202	4
999	4205	0
